time_s,data_time,temp_cabin_zone_degree,temp_duct_supply_zone_degree
1,04/01/2021,24.134,33.405
2,04/01/2021,23.427,40.661
3,04/01/2021,28.811,58.062
4,04/01/2021,24.594,32.562
5,04/01/2021,19.736,31.808
6,04/01/2021,26.015,59.581
7,04/01/2021,18.402,37.69
8,04/01/2021,21.011,51.224
9,04/01/2021,20.608,4.182
10,04/01/2021,24.824,12.984
11,04/01/2021,23.658,2.581
12,04/01/2021,26.656,52.855
13,04/01/2021,21.557,33.588
14,04/01/2021,27.373,13.42
15,04/01/2021,28.399,20.837
16,04/01/2021,21.88,42.89
17,04/01/2021,23.654,29.799
18,04/01/2021,20.86,51.46
19,04/01/2021,22.982,25.788
20,04/01/2021,18.783,32.34
21,04/01/2021,24.655,33.33
22,04/01/2021,26.029,45.351
23,04/01/2021,25.066,16.071
24,04/01/2021,22.175,20.54
25,04/01/2021,23.399,35.794
26,04/01/2021,18.793,50.811
27,04/01/2021,22.512,40.8
28,04/01/2021,27.72,31.448
29,04/01/2021,24.707,29.268
30,04/01/2021,24.095,3.493
31,04/01/2021,25.104,38.067
32,04/01/2021,24.224,40.552
33,04/01/2021,28.926,7.512
34,04/01/2021,26.847,35.404
35,04/01/2021,25.238,38.303
36,04/01/2021,26.372,29.163
37,04/01/2021,20.531,39.007
38,04/01/2021,28.278,40.583
39,04/01/2021,21.662,37.82
40,04/01/2021,23.002,53.621
41,04/01/2021,28.286,14.367
42,04/01/2021,24.349,3.812
43,04/01/2021,18.464,18.188
44,04/01/2021,28.542,25.561
45,04/01/2021,21.753,62.339
46,04/01/2021,26.605,6.84
47,04/01/2021,24.131,12.554
48,04/01/2021,26.921,57.82
49,04/01/2021,20.53,30.051
50,04/01/2021,18.977,52.642
51,04/01/2021,19.153,50.81
52,04/01/2021,19.544,11.782
53,04/01/2021,27.061,46.092
54,04/01/2021,25.175,6.049
55,04/01/2021,21.797,5.184
56,04/01/2021,23.01,47.944
57,04/01/2021,25.695,31.425
58,04/01/2021,24.385,56.884
59,04/01/2021,24.407,54.028
60,04/01/2021,27.807,4.106
61,04/01/2021,22.036,38.855
62,04/01/2021,19.767,22.799
